Scientific,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,Activity.Nocturnal,Activity.Crepuscular,Activity.Diurnal,BodyMass.Value,Scientific2,genus,common_name,litter_or_clutch_size_n,litters_or_clutches_per_y,adult_body_mass_g,maximum_longevity_y,gestation_d,longevity_y,adult_svl_cm,offspring.peryear
Sylvilagus nuttallii,0,0,0,0,0,0,0,0,0,100,1,1,0,755.09,Sylvilagus nuttallii,Sylvilagus,Mountain Cottontail,3.63,3.5,760,7.4,29.52292,7.4,34.223,12.705
Synaptomys cooperi,20,0,0,0,0,0,0,0,0,80,1,1,1,31.92,Synaptomys cooperi,Synaptomys,Southern Bog Lemming,3.215,2.625,32.53,2.5,23.36786,2.5,11.775,8.439375
Tamias alpinus,0,0,0,0,0,0,50,0,50,0,0,0,1,36.55,Tamias alpinus,Tamias,Alpine Chipmunk,4.5,NA,37.77,NA,NA,NA,13.2325,NA
Tamias amoenus,0,0,0,0,0,0,50,0,50,0,0,0,1,50.5,Tamias amoenus,Tamias,Yellow-pine Chipmunk,5.19,1,54.2,5.166666667,29.828015,5.166666667,13.903,5.19
Tamias dorsalis,0,0,0,0,0,0,50,0,50,0,0,0,1,71.1,Tamias dorsalis,Tamias,Cliff Chipmunk,5.13,1.5,62.8,12.6,29.75,12.57916667,14.269,7.695
Tamias merriami,0,0,0,0,0,0,50,0,50,0,0,0,1,74.8,Tamias merriami,Tamias,Merriam's Chipmunk,4.11,NA,75.95,2.825,33.37,2.825,14.6975,NA
Tamias minimus,0,0,0,0,0,0,50,0,50,0,0,0,1,135.27,Tamias minimus,Tamias,Least Chipmunk,4.95,1,44.975,10.15,29.52292,8.166666667,13.578,4.95
Tamias quadrimaculatus,0,0,0,0,0,0,50,0,50,0,0,0,1,85.25,Tamias quadrimaculatus,Tamias,Long-eared Chipmunk,5.1,1,86.035,NA,31.34908,NA,15.006,5.1
Tamias quadrivittatus,0,0,0,0,0,0,50,0,50,0,0,0,1,62.2,Tamias quadrivittatus,Tamias,Colorado Chipmunk,4.13,1.5,57.81,6.075,31.7,6.075,14.1205,6.195
Tamias rufus,0,0,0,0,0,0,50,0,50,0,0,0,1,53.6,Tamias rufus,Tamias,Hopi Chipmunk,4.275,1,57.49,6.075,31.8289,6.075,14.1205,4.275
Tamias speciosus,0,0,0,0,0,0,50,0,50,0,0,0,1,62,Tamias speciosus,Tamias,Lodgepole Chipmunk,4.145,1,59.065,6.075,31.6,6.075,12.469,4.145
Tamias striatus,20,0,0,0,0,0,20,0,30,30,0,0,1,111.91,Tamias striatus,Tamias,Eastern Chipmunk,4.22,1.53,92.6,9.5,31.25,8.741666667,16.6235,6.4566
Tamias townsendii,0,0,0,0,0,0,50,0,50,0,0,0,1,74.78,Tamias townsendii,Tamias,Townsend's Chipmunk,4.23,1,79.12,10.25,28,9.266666667,14.9615,4.23
Tamias umbrinus,0,0,0,0,0,0,50,0,50,0,0,0,1,63,Tamias umbrinus,Tamias,Uinta Chipmunk,5.15,NA,51.75,7.316666667,NA,7.316666667,14.183,NA
Tamiasciurus douglasii,0,20,0,0,10,0,20,10,20,20,0,0,1,225,Tamiasciurus douglasii,Tamiasciurus,Douglas's Squirrel,5.425,2,229.8,5.491666667,38.825,5.491666667,23,10.85
Tamiasciurus hudsonicus,0,20,0,0,10,0,20,10,20,20,0,0,1,201.17,Tamiasciurus hudsonicus,Tamiasciurus,Red Squirrel,4.2,1.725,210.8,12,37,9.816666667,19,7.245000000000001
Thomomys talpoides,0,0,0,0,0,0,0,0,0,100,1,1,0,130.08,Thomomys talpoides,Thomomys,Northern Pocket Gopher,4.975,1.065,101.12,6,22.73966,3.75,22.852,5.298374999999999
Zapus hudsonius,20,0,0,0,0,0,10,0,70,0,1,0,0,17.12,Zapus hudsonius,Zapus,Meadow Jumping Mouse,5.36,2.07,23.8,5.6,19,5,9.7945,11.0952
Zapus princeps,20,0,0,0,0,0,10,0,70,0,1,0,0,29,Zapus princeps,Zapus,Western Jumping Mouse,5.04,0.95,27.975,6,18.11,5,10.203,4.787999999999999
Zapus trinotatus,20,0,0,0,0,0,10,0,70,0,1,0,0,27.5,Zapus trinotatus,Zapus,Pacific Jumping Mouse,5.3,1,27.325,6,18.2616,5,9.77,5.3
